SWITCH_CL,Dim,NAME,CLAVRX_NAME,DTYPE,SCALED,ACT_RANGE1,ACT_RANGE2,VAL_RANGE1,VAL_RANGE2,FILL,ADD_OFFS,STANDARD_NAME,UNITS,LONG_NAME
1,40,_filename,,0,0,0,0,0,0,0,0,,,
1,0,_global_attr,,0,0,0,0,0,0,0,0,,,
1,1,scan_line_number,scan_number,3,0,0,0,0,0,25,0,not specified,none,scan line number
1,1,scan_line_time,utc_scan_time_hours,4,0,0,0,0,0,25,0,not specified,hours,time for the scan line in fractional hours
1,1,bad_scan_line_flag,bad_scan_flag,1,0,0,0,0,0,128,0,,none,
1,1,asc_des_flag,nav%ascend,1,0,0,0,0,0,128,0,,none,
1,2,bad_pixel_mask,bad_pixel_mask,1,0,0,0,0,0,128,0,not specified,none,mask that distinguishes good(0) from bad(1) pixels
1,2,gap_pixel_mask,gap_pixel_mask,1,0,0,0,0,0,128,0,not specified,none,mask that distinguishes not in gap (0) from in-gap(1) pixels
1,2,diagnostic_1,diag_pix_array_1,4,0,0,0,0,0,25,0,not specified,unknown,First diagnostic variable (contents will change)
1,2,diagnostic_2,diag_pix_array_2,4,0,0,0,0,0,25,0,not specified,unknown,Second diagnostic variable (contents will change)
1,2,diagnostic_3,diag_pix_array_3,4,0,0,0,0,0,25,0,not specified,unknown,third diagnostic variable (contents will change)
1,2,packed_pixel_meta_data,special,1,0,0,0,0,0,0,0,pixel_quality_flags_packed_into_one_byte,none,"order_and_depth: bad_pixel_mask(1),solar_contamination_mask(1),ch6_on_pixel_mask(1),Bayes_Mask_Sfc_Type(3)"
1,2,latitude,nav%lat,2,1,-90,90,1,255,0,0,latitude,degrees_north,latitude
1,2,longitude,nav%lon,2,1,-180,180,1,255,0,0,longitude,degrees_east,longitude
1,2,latitude_pc,nav%lat_pc,2,1,-90,90,1,255,0,0,latitude_parallax_corrected,degrees_north,latitude_parallax_corrected_using_cloud_height
1,2,longitude_pc,nav%lon_pc,2,1,-180,180,1,255,0,0,longitude_parallax_corrected,degrees_east,longitude_parallax_corrected_using_cloud_height
1,2,sensor_zenith_angle,geo%satzen,1,1,0,90,129,127,128,45,sensor_zenith_angle,degrees,sensor zenith for each pixel measured in degrees from nadir
1,2,solar_zenith_angle,geo%solzen,1,1,0,180,129,127,128,90,solar_zenith_angle,degrees,solar zenith for each pixel measured in degrees away from the sun (0=looking at sun)
1,2,relative_azimuth_angle,geo%relaz,1,1,0,180,129,127,128,90,relative_sensor_azimuth_angle,degrees,relative azimuth angle in degrees. 0 is the principal plane looking towards sun
1,2,solar_azimuth_angle,geo%solaz,1,1,-180,180,129,127,128,0,solar_azimuth_angle,degrees,"solar azimuth angle in degrees from north, pixel to sun, positive values are clockwise from north"
1,2,sensor_azimuth_angle,geo%sataz,1,1,-180,180,129,127,128,0,sensor_azimuth_angle,degrees,"sensor azimuth angle in degrees from north, pixel to sensor, positive values are clockwise from north"
1,2,glint_zenith_angle,geo%glintzen,1,1,0,180,129,127,128,90,glint_zenith_angle,degrees,glint zenith for each pixel measured in degrees away from the specular image of sun
1,2,scattering_angle,geo%scatangle,1,1,0,180,129,127,128,90,scattering_angle,degrees,scattering angle for each pixel measured in degrees away from direction of forward scattering
1,2,lunar_zenith_angle,geo%lunzen,1,1,0,180,129,127,128,90,lunar_zenith_angle,degrees,lunar zenith for each pixel measured in degrees away from the moon (0=looking at sun)
1,2,lunar_relative_azimuth_angle,geo%lunrelaz,1,1,0,180,129,127,128,90,lunar_relative_azimuth_angle,degrees,relative azimuth angle in degrees. 0 is the principal plane looking towards moon
1,2,lunar_azimuth_angle,geo%lunaz,1,1,-180,180,129,127,128,0,lunar_azimuth_angle,degrees,lunar azimuth angle in degrees from north
1,2,packed_land_cover,special,1,0,0,0,0,0,0,0,packed_land_cover,none,"land cover, snow and coast values packed into one byte, see patmos-x docs to unpack"
1,2,glint_mask,sfc%glint_mask,1,0,0,0,0,0,128,0,not specified,none,glint mask (0=no) (1=yes)
1,2,coast_mask,sfc%coast_mask,1,0,0,0,0,0,128,0,not specified,none,coast mask (0=no) (1=yes)
1,2,surface_type,sfc%sfc_type,1,0,0,0,0,0,128,0,area_type,none,"UMD surface type: water=0,evergreen_needle=1,evergreen_broad=2,deciduous_needle=3,deciduous_broad=4,mixed_forest=5,woodlands=6,wooded_grass=7closed_shrubs=8,open_shrubs=9,grasses=10,croplands=11,bare=12,urban=13"
1,2,land_class,sfc%land,1,0,0,0,0,0,128,0,not specified,none,"land classes and values:shallow ocean=0,land=1,coastline=2,shallow inland water=3,ephemeral water=4,deep inland water=5,moderate ocean=6,deep ocean=7"
1,2,snow_class,sfc%snow,1,0,0,0,0,0,128,0,not specified,none,"snow classes and values:no snow/ice=1,sea_ice=2,snow=3"
1,2,surface_elevation,sfc%zsfc,2,1,-500,10000,1,255,0,4750,surface_elevation,meters,surface elevation above mean sea level
1,2,refl_0_65um_nom,ch(1)%ref_toa,2,1,-2,120,1,255,0,59,toa_bidirectional_reflectance,%,top of atmosphere reflectance at the nominal wavelength of 0.65 microns - NOAA CDR
1,2,refl_0_86um_nom,ch(2)%ref_toa,2,1,-2,120,1,255,0,59,toa_bidirectional_reflectance,%,top of atmosphere reflectance at the nominal wavelength of 0.86 microns - NOAA CDR
1,2,refl_0_47um_nom,ch(3)%ref_toa,2,1,-2,120,1,255,0,59,not specified,%,top of atmosphere reflectance at the nominal wavelength of 0.47 microns
1,2,refl_1_60um_nom,ch(6)%ref_toa,2,1,-2,120,1,255,0,59,toa_bidirectional_reflectance,%,top of atmosphere reflectance at the nominal wavelength of 1.60 microns - NOAA CDR
1,2,refl_sol_dnb_nom,ch(44)%ref_toa,1,1,-2,150,129,127,128,74,toa_bidirectional_reflectance_solar_dnb_nominal,%,top of atmosphere reflectance solar dnb channel
1,2,refl_lunar_dnb_nom,ch(44)%ref_lunar_toa,2,1,-2,150,1,255,0,74,toa_bidirectional_reflectance_lunar_dnb_nominal,%,top of atmosphere reflectance lunar dnb channel
1,2,refl_3_75um_nom,ch(20)%ref_toa,2,1,-20,80,1,255,0,30,toa_bidirectional_reflectance,%,top of atmosphere reflectance at the nominal wavelength of 3.75 microns - NOAA CDR
1,2,temp_3_75um_nom,ch(20)%bt_toa,2,1,180,340,1,255,0,260,toa_brightness_temperature,K,top of atmosphere brightness temperature at the nominal wavelength of 3.75 microns - NOAA CDR
1,2,temp_8_5um_nom,ch(27)%bt_toa,2,1,180,340,1,255,0,260,toa_brightness_temperature_8_5_micron_nominal,K,top of atmosphere brightness temperature at the nominal wavelength of 8.5 microns
1,2,temp_11_0um_nom,ch(31)%bt_toa,2,1,180,340,1,255,0,260,toa_brightness_temperature,K,top of atmosphere brightness temperature at the nominal wavelength of 11.0 microns - NOAA CDR
1,2,temp_12_0um_nom,ch(32)%bt_toa,2,1,180,340,1,255,0,260,toa_brightness_temperature,K,top of atmosphere brightness temperature at the nominal wavelength of 12.0 microns - NOAA CDR
1,2,refl_0_65um_nom_stddev_3x3,Ref_Ch1_Min_3x3,1,1,0,20,129,127,128,10,not specified,%,standard deviation of the 0.63 micron reflectance computed over a 3x3 pixel array
1,2,temp_11_0um_nom_stddev_3x3,Ref_Ch1_Std_3x3,1,1,0,20,129,127,128,10,not specified,K,standard deviation of the 11 micron brightness temperature computed over a 3x3 pixel array
1,2,cloud_probability,posterior_cld_probability,1,1,0,1,129,127,128,0.5,not specified,none,probability of a pixel being cloudy from the Bayesian cloud mask
1,2,cloud_mask,cld_mask,1,0,0,0,0,0,128,0,not specified,none,"integer classification of the cloud mask including clear=0, probably-clear=1, probably-cloudy=2, cloudy=3"
1,2,adj_pix_cloud_mask,Adj_Pix_Cld_Mask,1,0,0,0,0,0,128,0,adj_pix_cloud_mask,none,"integer classification of the adjacent pixel cloud mask including clear=0, probably-clear=1, probably-cloudy=2, cloudy=3"
1,2,cloud_mask_test_packed_results,special,1,0,0,0,129,127,128,0,cloud_mask_test_packed_results,none,individual cloud mask packed test results
1,2,cloud_mask_1b,special,1,0,0,0,0,0,128,0,cloud_mask_1b,none,"integer classification of the cloud mask including clear=0, probably-clear=1, probably-cloudy=2, cloudy=3 from mask read from level-1b file"
1,2,bayes_mask_sfc_type,Bayes_Mask_Sfc_Type_Global,1,0,0,0,0,0,128,0,bayes_mask_sfc_type,none,"integer classification of the surface type assumed in constructed the Bayesian cloud mask, 1=deep water,2=shallow ocean,3=land,4=snow,5=arctic,6=antarctic+greenland,7=desert"
1,2,cloud_type,cld_type,1,0,0,0,0,0,128,0,not specified,none,"integer classification of the cloud type including clear and aerosol type,0=clear,1=probably clear,2=fog,3=water,4=supercooled water,5=mixed,6=opaque_ice,7=cirrus,8=overlapping,9=overshooting,10=unknown,11=dust,12=smoke"
1,2,cloud_phase,cld_phase,1,0,0,0,0,0,128,0,cloud_phase,none,"integer classification of the cloud phase including clear and aerosol type,0=clear,1=water,2=supercooled water,3=mixed,4=ice,5=unknown"
1,2,cloud_type_1b,cld_type_aux,1,0,0,0,0,0,128,0,cloud_type_1b,none,integer classification of the cloud type including clear and aerosol type read from level-1b file
1,2,cld_press_acha,acha%pc,2,1,0,1100,1,255,0,550,air_pressure_at_cloud_top,hPa,cloud-top pressure computed using the AWG cloud height algorithm
1,2,cld_temp_acha,acha%tc,2,1,160,320,1,255,0,240,air_temperature_at_cloud_top,K,cloud-top temperature computed using the AWG cloud height algorithm - NOAA CDR
1,2,cld_height_acha,acha%zc,2,1,0,20,1,255,0,10,height_at_cloud_top,km,cloud height computed using the AWG cloud height algorithm
