SWITCH_CL,NAME,CLAVRX_NAME,DIM,DATA_DEPTH,SCALED,ACT_RANGE1,ACT_RANGE2,STANDARD_NAME,UNITS,LONG_NAME,FLAG_VALUES
1,"_filename","NOT_SET_YET",0,0,0,0.00000,0.00000,"","","","none"
1,"_global_attr","NOT_SET_YET",0,0,0,0.00000,0.00000,"","","","none"
1,"scan_line_number","scan_number",1,3,0,0.00000,0.00000,"not specified","none","scan line number","none"
1,"scan_line_time","utc_scan_time_hours",1,4,0,0.00000,0.00000,"not specified","hours","time for the scan line in fractional hours","none"
1,"bad_scan_line_flag","bad_scan_flag",1,1,0,0.00000,0.00000,"","none","","none"
1,"asc_des_flag","nav%ascend",1,1,0,0.00000,0.00000,"","none","","none"
1,"bad_pixel_mask","bad_pixel_mask",2,1,0,0.00000,0.00000,"not specified","none","mask that distinguishes good(0) from bad(1) pixels","none"
1,"gap_pixel_mask","gap_pixel_mask",2,1,0,0.00000,0.00000,"not specified","none","mask that distinguishes not in gap (0) from in-gap(1) pixels","none"
1,"diagnostic_1","diag_pix_array_1",2,4,0,0.00000,0.00000,"not specified","unknown","First diagnostic variable (contents will change)","none"
1,"diagnostic_2","diag_pix_array_2",2,4,0,0.00000,0.00000,"not specified","unknown","Second diagnostic variable (contents will change)","none"
1,"diagnostic_3","diag_pix_array_3",2,4,0,0.00000,0.00000,"not specified","unknown","third diagnostic variable (contents will change)","none"
1,"packed_pixel_meta_data","special",2,1,0,0.00000,0.00000,"pixel_quality_flags_packed_into_one_byte","none","order_and_depth: bad_pixel_mask(1),solar_contamination_mask(1),ch6_on_pixel_mask(1),Bayes_Mask_Sfc_Type(3)","none"
1,"latitude","nav%lat",2,2,1,-90.0000,90.0000,"latitude","degrees_north","latitude","none"
1,"longitude","nav%lon",2,2,1,-180.000,180.000,"longitude","degrees_east","longitude","none"
1,"latitude_pc","nav%lat_pc",2,2,1,-90.0000,90.0000,"latitude_parallax_corrected","degrees_north","latitude_parallax_corrected_using_cloud_height","none"
1,"longitude_pc","nav%lon_pc",2,2,1,-180.000,180.000,"longitude_parallax_corrected","degrees_east","longitude_parallax_corrected_using_cloud_height","none"
1,"sensor_zenith_angle","geo%satzen",2,1,1,0.00000,90.0000,"sensor_zenith_angle","degrees","sensor zenith for each pixel measured in degrees from nadir","none"
1,"solar_zenith_angle","geo%solzen",2,1,1,0.00000,180.000,"solar_zenith_angle","degrees","solar zenith for each pixel measured in degrees away from the sun (0=looking at sun)","none"
1,"relative_azimuth_angle","geo%relaz",2,1,1,0.00000,180.000,"relative_sensor_azimuth_angle","degrees","relative azimuth angle in degrees. 0 is the principal plane looking towards sun","none"
1,"solar_azimuth_angle","geo%solaz",2,1,1,-180.000,180.000,"solar_azimuth_angle","degrees","solar azimuth angle in degrees from north, pixel to sun, positive values are clockwise from north","none"
1,"sensor_azimuth_angle","geo%sataz",2,1,1,-180.000,180.000,"sensor_azimuth_angle","degrees","sensor azimuth angle in degrees from north, pixel to sensor, positive values are clockwise from north","none"
1,"glint_zenith_angle","geo%glintzen",2,1,1,0.00000,180.000,"glint_zenith_angle","degrees","glint zenith for each pixel measured in degrees away from the specular image of sun","none"
1,"scattering_angle","geo%scatangle",2,1,1,0.00000,180.000,"scattering_angle","degrees","scattering angle for each pixel measured in degrees away from direction of forward scattering","none"
1,"lunar_zenith_angle","geo%lunzen",2,1,1,0.00000,180.000,"lunar_zenith_angle","degrees","lunar zenith for each pixel measured in degrees away from the moon (0=looking at sun)","none"
1,"lunar_relative_azimuth_angle","geo%lunrelaz",2,1,1,0.00000,180.000,"lunar_relative_azimuth_angle","degrees","relative azimuth angle in degrees. 0 is the principal plane looking towards moon","none"
1,"lunar_azimuth_angle","geo%lunaz",2,1,1,-180.000,180.000,"lunar_azimuth_angle","degrees","lunar azimuth angle in degrees from north","none"
1,"glint_mask","sfc%glint_mask",2,1,0,0.00000,0.00000,"not specified","none","glint mask (0=no) (1=yes)","none"
1,"coast_mask","sfc%coast_mask",2,1,0,0.00000,0.00000,"not specified","none","coast mask (0=no) (1=yes)","none"
1,"surface_type","sfc%sfc_type",2,1,0,0.00000,0.00000,"area_type","none","UMD surface type: water=0,evergreen_needle=1,evergreen_broad=2,deciduous_needle=3,deciduous_broad=4,mixed_forest=5,woodlands=6,wooded_grass=7closed_shrubs=8,open_shrubs=9,grasses=10,croplands=11,bare=12,urban=13","0"
1,"land_class","sfc%land",2,1,0,0.00000,0.00000,"not specified","none","land classes and values:shallow ocean=0,land=1,coastline=2,shallow inland water=3,ephemeral water=4,deep inland water=5,moderate ocean=6,deep ocean=7","0"
1,"snow_class","sfc%snow",2,1,0,0.00000,0.00000,"not specified","none","snow classes and values:no snow/ice=1,sea_ice=2,snow=3","0"
1,"surface_elevation","sfc%zsfc",2,2,1,-500.000,10000.0,"surface_elevation","meters","surface elevation above mean sea level","1"
1,"refl_0_65um_nom","ch(1)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance","%","top of atmosphere reflectance at the nominal wavelength of 0.65 microns - NOAA CDR","2"
1,"refl_0_86um_nom","ch(2)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance","%","top of atmosphere reflectance at the nominal wavelength of 0.86 microns - NOAA CDR","4"
1,"refl_0_47um_nom","ch(3)%ref_toa",2,2,1,-2.00000,120.000,"not specified","%","top of atmosphere reflectance at the nominal wavelength of 0.47 microns","5"
1,"refl_0_55um_nom","ch(4)%ref_toa",2,2,1,-2.00000,120.000,"not specified","%","top of atmosphere reflectance at the nominal wavelength of 0.55 microns","6"
1,"refl_1_2um_nom","ch(5)%ref_toa",2,2,1,-2.00000,120.000,"not specified","%","top of atmosphere reflectance at the nominal wavelength of 1.2 microns","7"
1,"refl_1_60um_nom","ch(6)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance","%","top of atmosphere reflectance at the nominal wavelength of 1.60 microns - NOAA CDR","9"
1,"refl_2_1um_nom","ch(7)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance_2_1_micron_nominal","%","top of atmosphere reflectance at the nominal wavelength of 2.1 microns","10"
1,"refl_0_41um_nom","ch(8)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance_0_41_micron_nominal","%","top of atmosphere reflectance at the nominal wavelength of 0.41 microns","11"
1,"refl_0_44um_nom","ch(9)%ref_toa",2,2,1,-2.00000,120.000,"toa_bidirectional_reflectance_0_44_micron_nominal","%","top of atmosphere reflectance at the nominal wavelength of 0.44 microns","12"
1,"refl_1_38um_nom","ch(26)%ref_toa",2,2,1,-2.00000,60.0000,"not specified","%","top of atmosphere reflectance at the nominal wavelength of 1.38 microns","13"
1,"refl_sol_dnb_nom","ch(44)%ref_toa",2,2,1,-2.00000,150.000,"toa_bidirectional_reflectance_solar_dnb_nominal","%","top of atmosphere reflectance solar dnb channel","none"
0,"refl_lunar_dnb_nom","ch(44)%ref_lunar_toa",2,2,1,-2.00000,150.000,"toa_bidirectional_reflectance_lunar_dnb_nominal","%","top of atmosphere reflectance lunar dnb channel","none"
1,"refl_3_75um_nom","ch(20)%ref_toa",2,2,1,-20.0000,80.0000,"toa_bidirectional_reflectance","%","top of atmosphere reflectance at the nominal wavelength of 3.75 microns - NOAA CDR","none"
1,"temp_3_75um_nom","ch(20)%bt_toa",2,2,1,180.000,340.000,"toa_brightness_temperature","K","top of atmosphere brightness temperature at the nominal wavelength of 3.75 microns - NOAA CDR","none"
1,"temp_3_9um_nom","ch(22)%Bt_Toa",2,2,1,180.000,340.000,"toa_brightness_temperature_3_9_micron_nominal","K","top of atmosphere brightness temperature at the nominal wavelength of 3.9 microns","none"
1,"temp_8_5um_nom","ch(27)%bt_toa",2,2,1,180.000,340.000,"toa_brightness_temperature_8_5_micron_nominal","K","top of atmosphere brightness temperature at the nominal wavelength of 8.5 microns","none"
1,"temp_11_0um_nom","ch(31)%bt_toa",2,2,1,180.000,340.000,"toa_brightness_temperature","K","top of atmosphere brightness temperature at the nominal wavelength of 11.0 microns - NOAA CDR","none"
1,"temp_12_0um_nom","ch(32)%bt_toa",2,2,1,180.000,340.000,"toa_brightness_temperature","K","top of atmosphere brightness temperature at the nominal wavelength of 12.0 microns - NOAA CDR","none"
